Name,Date,Nationality,Summary,Description
John Dewey ,1859-1952,American, Helped develop the pragmatist philosophy of the early 20th century,"As one of the most famous teachers in modern history, Dewey believed that schooling was both restrictive and too long to be effective. His philosophy of pragmatism led him to believe that it would be more useful for children to get real-world experience rather than sitting in a schoolroom."
Emma Goldman ,1869-1940,Russian, Most prominent anarchist preceding WWI,"Often referred to as “Red Emma,” Goldman moved to the United States in the mid-1880s and gave numerous lectures on the benefits of anarchsim. She began a publication entitled Mother Earth in which her and other anarchist supporters discussed the philosophies of anarchism."
Bertrand Russell ,1872-1970,British, Co-founder of analytic philosophy.,"Russell wrote an nearly every aspect of philosophy, including language, mathematics and religion. His work Why I am Not a Christian is one of his best known publications. Others include Introduction to Mathematical Philosophy, The Problems of Philosophy and more."
Albert Schweitzer ,1875-1965,German, Won Nobel Peace Prize in 1952 for “Reverence of Life”,"Theological philosopher who published The Quest of the Historical Jesus and challenged the popular notion that people had of Jesus. In his work The Philosophy of Civilization, he also called for a return to having a reverence for life, an idea that some philosophers of his day were abandoning."
Ludwig Wittgenstein ,1889-1951,Austrian, Wrote Philosophical Investigations,Wittgenstein’s Philosophical Investigations is considered by many to be one of the most important works of the 20th century philosophy. It focused on linguistics and the way it is used to form thoughts.
C. S. Lewis ,1898-1963,Irish, Wrote several books regarding Christian apologetics.,"Lewis is known for several books and essays, but his works regarding Christian apologetics are among some of his best known writings. Publications like Mere Christianity, The Problem of Pain, and The Screwtape Letters have helped provide a rational discussion for the Christian faith."
Erich Fromm ,1900-1980,German, Wrote Escape from Freedom and Man for Himself,"Fromm was a trained psychologist who theorized that humans have eight basic needs to survive, including a sense of identity, relationships with other people, and a feeling of belongingness, among others. He is also known for his criticism of the philosophies of Sigmund Freud."
Jean-Paul Sartre,1905-1980,French, Advocate for Marxism and the idea of existentialism,"Sartre theorized that man is doomed to be free. He argued that there was no ultimate creator because if there was, every human would have a purpose from birth. Rather, he said, they exist and then seek out a purpose. His most famous work – Nausea – serves as an existentialist manifesto."
Hannah Arendt ,1906-1975,German," Political philosopher who coined the phrase, “the banality of evil”","As a writer of philosophical works and lecturer on the topic, Arendt is one of the better known female philosophers of her time. Some of her works include The Life of the Mind, Some Questions on Moral Philosophy, and The Human Condition, which is considered her most influential work."
Simone de Beauvoir ,1908-1986,French, Existentialist philosopher who helped develop the modern feminist movement,"De Beauvoir wrote several books and essays that laid the groundwork for the feminist movement. The Second Sex advocated the notion of existential feminism, which stated that is not born as a female, but rather they become female throughout their life."
Albert Camus ,1913-1960,French, Furthered the idea of an absurdist philosophy,"Author of The Stranger and The Plague, Camus was a philosophical writer as well. His work The Myth of Sisyphus helped further the argument of an absurdist philosophy, which refers to the human’s desire to find meaning to life although finding it is impossible for humans."
Michel Foucault ,1926-1984,French, Wrote Discipline and Punish,"Much of Foucault’s work centered around the various institutions in society. For one thing, his work Discipline and Punish criticized the penal systems throughout the centuries. His philosophy was that prisons and torture do nothing to rehabilitate criminals. He had similar criticisms of mental institutions."
Homer ,8th Century BC,Greek," Iliad, Odyssey","Homer is considered to be the greatest of the ancient Greek poets as he wrote two epic poems that still live on today – the Iliad and the Odyssey. These stories were epic poems that detailed Greek culture, including the geography, history, and ideals. It also set a precedence because other empires wanted similar epic poems written about their cultures."
Sun Tzu ,544-496 BC,Chinese, The Art of War,"Sun Tzu was a military strategist in ancient China. His book – The Art of War – was written as a strategy for the Chinese military. It is still widely read today by leaders of armed forces. In fact, it is on the list of recommended reading for the US Marine Corps and other divisions of the military."
Virgil ,70 BC-19 BC,Roman," Eclogues, Georgics, Aeneid","Widely known as one of Rome’s greatest poets, Virgil had a major influence on Western literature. The Aeneid is modeled after Homer’s works and it tells the story of a Trojan, named Aeneas, who was adopted by the Romans. His work had such an impact that Dante used him in his Divine Comedy to guide him through hell."
Dante Alighieri ,1265-1321,Italian, Divine Comedy,"Dante’s Divine Comedy is considered one of the greatest works in all of literature.He is often referred to as the “Father of the Italian language” and he is one-third of “the three crowns,” along with Petrarch and Boccaccio. Some of his other works include Convivio, or “The Banquet,” and Monarcha, a treatise on political philosophy."
William Shakespeare ,1564-1616,English," Romeo and Juliet, Hamlet, Othello, King Lear","Shakespeare, known as the “Bard of Avon,” is one of the best known English writers in history. He is credited with writing nearly 40 plays, more than 150 sonnets, and several poems. His first recorded works include Henry VI and Richard III, which were written during the 1590s."
Jane Austen ,1775-1817,English," Sense and Sensibility, Pride and Prejudice, Mansfield Park",Much of Austen’s work focused on the woman’s social standing in the 18th century and how it depended greatly on the man that they marry. She did not receive many positive reviews for her work as she generally critiqued the societal norms of her time. It was not until the 1940s after her memoirs were published when she achieved posthumous fame as a prominent English writer.
Alexandre Dumas ,1802-1870,French," The Count of Monte Cristo, The Three Musketeers","Dumas is one of the most prominent French writers with his historical novels that tell of adventurous tales. Since the early 20th century, his works have been made into about 200 movies. His complete works total 100,000 pages and due to the level of success of his early works, he was able to be a full-time writer and dedicate himself solely to writing."
Edgar Allan Poe ,1809-1849,American," The Raven, The Pit and the Pendulum, The Tell-Tale Heart","Poe was one of the premier writers during the Romantic Movement. His works are known for their mystery and grim themes, many of which include the death of one of the characters. He is credited with being the father of detective fiction as well as one of the early science fiction writers."
Charles Dickens ,1812-1870,English," Oliver Twist, A Tale of Two Cities, A Christmas Carol","Often referred to as the greatest novelist of Victorian times, Dickens had several works that were praised by critics and peers. His first recognized work was in 1836 with The Pickwick Papers. He helped popularize serial publications, which meant pieces of his work were published in magazines in installments."
Herman Melville ,1819-1891,American, Moby Dick,"Known mainly for his work Moby Dick, Melville was virtually unsuccessful as an author and novelist. He had other small successes, such as Typee in 1845, which became a bestseller in London. He also published Omoo based on the success of his previous work. But his later years were not nearly as successful as his earlier ones."
Jules Verne ,1828-1905,French," Journey to the Center of the Earth, Around the World in 80 Days","Verne was one of the leaders in the science fiction genre of literature. In fact, he is often referred to as “The Father of Science Fiction,” along with H.G. Wells. Many have called his works of exploration inspirational, including Jacques Cousteau, the astronauts on Apollo 8, and J.R.R. Tolkien."
Mark Twain ,1835-1910,American," The Adventures of Tom Sawyer, Huckleberry Finn, Pudd’nhead Wilson","Often referred to as the “Father of American Literature,” Twain has contributed a great deal to the culture. His 1885 novel – Adventures of Huckleberry Finn – is credited with being the “Great American Novel.” Twain served as a pilot on a riverboat along the Mississippi River for some time before becoming an author."
Oscar Wilde ,1854-1900,Irish," The Picture of Dorian Gray, The Importance of Being Earnest","Wilde was known as one of London’s most prominent playwrights during the last decade of the 1800s. He had one novel published during his career – The Picture of Dorian Gray – along with several plays that were performed on stage. He also wrote several essays and shorter fiction pieces, including The Decay of Lying and The House of Pomegranates."
Jack London ,1876-1916,American," The Call of the Wild, The Sea Wolf, White Fang","As an advocate of ideals like socialism and unionization, London worked these themes into many of his works, including The Iron Heel and The People of the Abyss. He had more straightforward works that explored these themes, including essays like How I Became a Socialist and What Communities Lose by the Competitive System."
Hermann Hesse ,1877-1962,German," Steppenwolf, Siddhartha, Demian","A recipient of the Nobel Prize in Literature in 1946, Hesse’s novels typically had themes of exploring a person’s search for spirituality and self-knowledge. His first recognized novel was published in 1904 and it was entitled Peter Camenzind. His subsequent novels were popular in Germany and parts of Europe, but they did not become well-known in the United States until the counter-culture revolution of the 1960s."
Virginia Woolf ,1882-1941,English," Mrs. Dalloway, Orlando, To the Lighthouse","As one of the more prominent authors of the 20th century, Woolf contributed a great deal to the field of literature and to the English language in general. Her use of “stream of consciousness” in her novels was innovative for the time and it allowed her to explore the thoughts and inner lives of her characters more intimately."
James Joyce ,"1882-1941
Nationality: Irish
Known for: Ulysses, A Portrait of the Artist as a Young Man
Joyce was innovative in some of the techniques he used and perfected in his writing, including the idea of stream of consciousness, referencing a character’s psychic reality, and exploring a character’s inner monologue. In his work Finnegans Wake, he discarded the tradition of having a conventional plot and he used free dream associations, obscure language, puns, and literary allusions throughout the book.",Irish," Ulysses, A Portrait of the Artist as a Young Man","Joyce was innovative in some of the techniques he used and perfected in his writing, including the idea of stream of consciousness, referencing a character’s psychic reality, and exploring a character’s inner monologue. In his work Finnegans Wake, he discarded the tradition of having a conventional plot and he used free dream associations, obscure language, puns, and literary allusions throughout the book."
Franz Kafka ,1883-1924,German," The Metamorphosis, The Trial, The Castle","A great deal of Kafka’s writing focused on surreal situations that involved mental and physical brutality, conflicts between parents and children, fighting the maze of bureaucracy, and alienation. The term “Kafkaesque” has come to refer to situations that are reminiscent of his writings and ideas. Many of his works also include the theme of existentialism."
Fernando Pessoa ,1888-1935,Portugese, The Book of Disquietude,"Pessoa is often referred to as the greatest poet of the Portugese language. He wrote under several different pseudonyms, includnig albert Caeiro, Alvaro de Campos, and Ricardo Reis. In addition to his original works, Pessoa translated many English works into Portugese, including The Scarlet Letter by Nathaniel Hawthorne and Poe’s “The Raven,” among others."
Dale Carnegie ,1888-1955,American, How to Win Friends and Influence People,"Carnegie made a name for himself in the writing world for publishing books about self-improvement and interpersonal skills. He began as a lecturer and became one of the most famous lecturers ever. He even sold out Carnegie Hall for some of his speaking engagements. Within 20 years of its first printing, his How to Win Friends and Influence People had sold more than five million copies."
Agatha Christie ,1890-1976,English," And Then There Were None, Witness for the Prosecution","As the author of more than 65 detective novels and more than a dozen short stories, Christie created popular characters like Jane Marple and Hercule Poirot. In addition to detective novels, she also wrote The Mousetrap, which has been running continuously since 1952. It is the longest running play ever."
J. R. R. Tolkien ,1892-1973,English," The Lord of the Rings, The Hobbit","Credited with bringing the fantasy genre back into the mainstream, Tolkien is often referred to as the “father of modern fantasy literature.” He was ranked sixth on The Times’ list of 50 great British writers of the latter half of the 20th century in 2008. He died in 1973, but he made the Forbes 2009 list of top-earning celebrities at number five."
F. Scott Fitzgerald ,1896-1940,American," The Great Gatsby, The Beautiful and Damned","Fitzgerald was part of the “Lost Generation” group of writers. This was a group that served in WWI and it also included T.S. Eliot, Waldo Pierce, Ernest Hemingway and others. The term referred to their feelings of emptiness due to the war. Fitzgerald’s work often exemplified this feeling as much of it centered on consumerism, greed, and alcohol to suppress or hide those negative feelings."
C. S. Lewis ,1898-1963,American," The Chronicles of Narnia, The Screwtape Letters","Lewis was a novelist, essayist, and Christian apologetic who used his writings to explore ideas about religion and other themes. His The Chronicles of Narnia has been turned into a series of motion pictures. He also authored Space Trilogy, a science fiction work for adults, and The Pilgrim’s Regress, his first novel after converting to Christianity."
Ernest Hemingway ,1899-1961,American," A Farewell to Arms, The Sun Also Rises, The Old Man and the Sea","Hemingway started out as a journalist before becoming a novelist. His first job out of high school was being a reporter for The Kansas City Star. Before long, he left to go to Italy to enlist as an ambulance driver for World War I. His time serving in WWI and in the Spanish Civil War gave him inspiration for his novels. He won the Nobel Prize in Literature in 1954."
John Steinbeck ,1902-1968,American," The Grapes of Wrath, Of Mice and Men, East of Eden","The collection of Steinbeck’s work includes 16 novels, six books of non-fiction and five short stories. In 1962, he won the Nobel Prize for Literature to the dismay of many of his critics and literary analysts of the time. His most recognized work – The Grapes of Wrath – was published in 1939 and it won a Pulitzer and a National Book Award."
George Orwell ,1903-1950,English," 1984, Animal Farm","Orwell is considered one of the greatest British writers of the 20th century. In fact, he was listed as number two in 2008 on a list published by The Times. The themes he explores in his books, namely 1984 and Animal Farm, have been termed “Orwellian,” but he has coined other popular phrases, such as “Big Brother” and “thought police.”"
Dr. Seuss ,1904-1991,American," Green Eggs and Ham, The Cat in the Hat, How the Grinch Stole Christmas!","Theodor Seuss Geisel, popularly known as Dr. Seuss, is known for his children’s picture books that he wrote and illustrated. He published 46 of them with some of the most imaginative rhymes and characters. In his early career, he was an illustrator for various businesses and organizations, including the U.S. Army."
Ayn Rand ,1905-1982,Russian," The Fountainhead, Atlas Shrugged","Rand was both a novelist and a philosopher and she used her writing skills to explore a system she referred to as objectivism in her works. Although her novels were not bestsellers, they have been major influences for the Libertarian Party and the Conservative Party in American politics."
Albert Camus ,1913-1960,French," The Stranger, The Myth of Sisyphus, The Plague","As a philosopher/author, Camus worked many of his philosophical thoughts into his novels. In The Stranger, for instance, he explored the theme of existentialism as well as nihilism and stoicism through characters like Meursault and Masson. His novel The Plague discussed the human condition and the idea of destiny."
Roald Dahl ,1916-1990,British," Charlie and the Chocolate Factory, James and the Giant Peach","Dahl has been referred to as a great children’s storyteller, though his books have a dark sense of humor and twist endings. He wrote many short stories for magazines, including Harper’s, The New Yorker, and Ladies Home Journal, just to name a few. He received three Edgar Awards for his original works."
Isaac Asimov ,1920-1992,Russian," The Intelligent Man’s Guide to Science, I, Robot, Nightfall","Asimov has been called one of the most prolific writers in history with more than 500 books either written or edited by him. He is mainly recognized for his science fiction works, but he has written books on many different topics, including mysteries, William Shakespeare, the Bible, and more. There is also a literary award named after him."
Jack Kerouac ,1922-1969,American," On the Road, Big Sur, The Sea is My Brother","The writings of Kerouac are eclectic in that they span a variety of topics, including Buddhism, poverty, promiscuous sex, drugs, and traveling. He was one of the pioneers of the Beat Generation and the hippie movement. He was heavily influenced by James Joyce and references his work many times in his own writings."
Maya Angelou ,1928- ,American, I Know Why the Caged Bird Sings,"With a total of seven autobiographies and several poetry works to her name, Angelou is one of the more successful African-American authors to date. She was nominated for a Pulitzer Prize in 1971 and she was selected to read her poem – “On the Pulse of Morning” – at the inauguration of Bill Clinton in 1993."
Anne Frank ,1929-1945,German, The Diary of Anne Frank,"Frank was not a writer in the traditional sense, but her diary is one of the most recognized works of non-fiction in history. During the German occupation of Amsterdam, Frank was in hiding with other family members. However, the family was captured by German troops and taken to concentration camps where they died. Her diary was saved and published in 1947."
Haruki Murakami ,1929- ,Japanese," Kafka on the Shore, The Wind-Up Bird Chronicle","Murakami is a Japanese writer who has won several awards for his work, including the Frank O’Connor International Short Story Award, the Franz Kafka Prize, and several others. His first novel was Hear the Wind Sing in 1979. Following that, he wrote and published a sequel to it entitled Pinball, 1973. Since then, he has had success with subsequent novels in his career."
Sylvia Plath ,1932-1963,American," The Bell Jar, Ariel","Plath had a short career with few publications to her name, but the works that she did have published were significant. Her work The Bell Jar was somewhat autobiographical and discussed her depression and other life events. She attempted suicide several times during her life and succeeded in 1963, after which she posthumously won the Pulitzer Prize for The Collected Poems."
Hunter S. Thompson ,1937-2005,American," The Rum Diary, Hell’s Angels, Fear and Loathing in Las Vegas","Thompson spent several years working as a journalist, but he was not well-known until after he published his book about the year he spent riding with the Hell’s Angels. He was a leader in the counter-culture and he created a new style of journalism, which he entitled “Gonzo” journalism. In this style, the journalist gets involved in the story themselves and they become a central figure of it."
Paulo Coelho ,1947- ,Brazilian, The Alchemist,"Coelho is one of the most popular authors in modern history. He had several moderately successful books published, but The Alchemist is one of the best-selling books of all time. It was published in 1987 and Coelho has followed up his success with a novel every couple years since then. He has published 30 books in total."
Stephen King ,1947- ,American," Carrie, The Shining, Salem’s Lot,The Dark Tower","With 50 novels published and almost 200 short stories, King is one of the more prolific authors of horror fiction today. He has received numerous awards for his work, including British Fantasy Society Awards, Bram Stoker Awards, and others. He also received the prestigious O. Henry Award for his short story, The Man in the Black Suit."
James Patterson ,1947- ,American," The Alex Cross Series, Daniel X","Following a career in advertising, Patterson dedicated himself to writing. However, he had several publications prior to leaving his advertising career. His first novel – The Thomas Berryman Number – was published in 1976. Since then, he has had more than 90 novels published and 19 of them have been consecutive bestsellers."
Salman Rushdie ,1947- ,British," The Satanic Verses, Midnight’s Children","Rushdie began his writing career working as a copywriter for ad agencies. While coming up with memorable slogans, he also wrote Midnight’s Children during his free time. published his first novel – Grimus – in 1975 and it became his first work to be published. He won the Booker Prize in 1981. In 1988, he published The Satanic Verse, which caused great controversy and death threats for Rushdie."
George R. R. Martin ,1948- ,American, A Song of Ice and Fire,"His work – A Song of Ice and Fire – has been turned into a wildly popular TV series entitled Game of Thrones. In 2011, Time magazine named Martin one of the “most influential people in the world.” He has won several awards for his work, including the Hugo Award three times and the Locus Award six times."
Nora Roberts ,1950- ,American," Time and Again, “In Death” series","Roberts’ novels have spent a total of more than 860 weeks on the NY Times Bestseller list as of 2011. For 176 of those weeks, her novels were at the top of the list at number one. She has written under the pseudonyms J.D. Robb, Jill March, and Sarah Hardesty. By 1996, she had 100 novels published and more than 200 by 2012."
Douglas Adams ,1952-2001,English, The Hitchhiker’s Guide to the Galaxy,"As a humorist and a dramatist, Adams’ works were often made into radio shows and TV series. He wrote three stories for Doctor Who, which was a science fiction program that ran on the BBC. The series has since been updated and remade. Other books of Adams’ include The Meaning of Liff, Last Chance to See, and others."
Rick Riordan ,1954- ,American," Percy Jackson and the Olympians, The Kane Chronicles","In addition to his works centered on mythology, such as Percy Jackson and the Olympians, Riordan has worked on other projects. He helped write the children’s novel series entitled The 39 Clues with other authors. One of the books in the series that he authored – The Maze of Bones – went to number one on the New York Times Best Seller list."
Neil Gaiman ,1960- ,English," The Graveyard Book, Stardust, Coraline, American Gods",Gaiman is the first author to have won the Carnegie medal and the Newbery medal for a single work – The Graveyard Book. He began his career in journalism and he worked for the British Fantasy Society. His first story was published in 1984. He went on to publish several books and become a graphic novelist.
Suzanne Collins ,1962- ,American, The Hunger Games Trilogy,"Before becoming a successfully published author, Collins spent several years writing for children’s TV shows, including Oswald and Clarissa Explains it All, just to name a few. From there, she went on to write children’s books, including the series The Underland Chronicles, of which the first book in the series was number one on the NY Times bestseller list."
David Foster Wallace ,1962-2008,American," The Pale King, Brief Interviews with Hideous Men, Infinite Jest",Wallace’s Infinite Jest was his second novel and his most recognized. Time magazine named it as one of the 100 best novels published between 1923 and 1925. Another one of his books – The Pale King – was published after his death and it was nominated for a Pulitzer Prize.
Dan Brown ,1962- ,American," The Da Vinci Code, Angels and Demons","Brown has written two best-selling novels that been turned into major motion picture. In total, his novels have sold more than 200 million copies worldwide as of 2012. The themes for his novels typically include conspiracy combined with Christian motifs, making them rather controversial. He is in the top 20 best-selling authors of all time despite only having six books published."
J. K. Rowling ,1965- ,British, Harry Potter series,"With more than 400 million of the Harry Potter books being sold worldwide, Rowling has gone to the top of the list of bestselling authors of all time. Before writing and publishing the Harry Potter series, she was receiving benefits from the state to help her live. But her success turned her into a multi-millionaire within just a couple years."
Nicholas Sparks ,1965- ,American," The Notebook, Nights in Rodanthe, A Walk to Remember","With 18 published novels to his name, Sparks is one of the more prominent authors of today. Several of his novels have been turned into major motion pictures, including Message in a Bottle, A Walk to Remember, and The Notebook, which was published in 1996 and it was listed on the NY Times bestseller list within a week after its release."
Stephenie Meyer ,1973- ,American, The Twilight Series,"The Twilight series is one of the more successful series in modern history. In 2008 and 2009, Meyer was the bestselling wrier in the US with more than 45 million copies selling in those two years combined. She was ranked as one of the top 50 of the 100 most influential people of 2008 by Time magazine."
Antonio Vivaldi ,1678-1741,Italian, Baroque instrumental concerto,"Antonio Vivaldi was a very noteworthy composer who made hundreds of musical creations. Although originally ordained a priest, he dicided to go with his passion in music. His most popular works were concertos in that of the Baroque style."
Johann Sebastian Bach ,1685-1750,German, His innovations in musical style and how complex his music was,"Bach came from a long line of gifted musical ancestors. Bach grew up playing a lot of organ and violin. He took various gigs at different churches throughout his career. His skills were highly regarded across Europe while he was alive. However, it was not until later in the 19th century that his talents were fully recognized."
Wolfgang Amadeus Mozart ,1756-1791,Austrian, Deep influence on classical music,"Mozart was a child prodigy from the start. He began composing on the violin and keyboard when he was just five. In his lifetime he composed more than 600 pieces, many of which are considered to this day to be great works of musical genious."
Ludwig van Beethoven ,1770-1827,German, His Fifth and Ninth Symphonies.,Beethoven is famous for being one of the greatest composers of all time. He was very talented from a young age and gained a reputation as an incredibly gifted pianist. He achieved this success despite going nearly entirely deaf during some of his more creative years.
Franz Schubert ,1797-1828,Austrian, Connecting romantic and classical composition,"Although he only lived for 32 years, Schubert was incredibly able to become an outstanding and well-known composer. Although he was not all that popular during his life, his work was later appreciated much more in the years after his death. To this day he is still one of the top performed composers."
Felix Mendelssohn ,1809-1847,German," Great compositions, especially “Wedding March” from “A Midsummer Night’s Dream”","Felix Mendelssohn was a muic teacher, composer, pianist and conductor. He composed his works during the early Romantic period, thus his music emphasized emotions and imagination rather than traditional structures. However, he was decidedly more conservative in his stylings than that of his contemporaries."
Frederick Chopin ,1810-1849,Polish, Influential piano composer,Chopin was a composer and gifted pianist. He was also considered to be a child prodigy. Many of his works are well-known such as the Minute Waltz and a portion of his Funeral March Sonata Number 2.
Robert Schumann ,1810-1856,German, Intellectual and emotional compositions,Schumann was an influential and great composer of the Romantic era. After leaving law school to focus on his piano playing he later severely injured his hand and had to focus on composing music instead. Before the injury it was said that he could have become one of the greatest piano players in all of Europe.
Franz Liszt ,1811-1886,Hungarian, Composing over 700 pieces,He was known for his originality which garnered him great influence during the Romantic movement in Europe. By the age of 9 he was already seen as a prodigy and was playing piano in concert halls.
Richard Wagner ,1813-1883,German, Incredibly detailed operas,"Richard Wagner was a great but controversial composer of his time. He was known for his musical talent in creating intricate operas. Yet, to many, this was overshadowed by his antisemitic writings which later made him well-liked by Adolf Hitler."
Guiseppe Verdi ,1813-1901,Italian, Writing several famous operas,Verdi is considered to this day to be one of the best composers of operas in the 19th century alongside Richard Wagner. Some of his work has even been taken in by mainstream pop culture including the “Grand March” and “Libiamo ne’ lieti calci” (The Drinking Song).
Johannes Brahms ,1833-1897,German, Being one of the greatest composers of the 19th century,"Brahms is often grouped together with Ludwig van Beethoven and Johann Sebastian Bach as being part of the “Three B’s.” He became famous during his lifetime and composed chamber ensembels, piano, voice, chorus and symphony orchestra."
Antonin Dvorak ,1841-1904,Czech, Using portions of folk music from his homeland of Bohemia as inspiration in his music,"Dvorak was talented from a very young age. He wrote his first composition at the age of 20 and was a skilled violinist and pianist. His most popular compositions are “New World Symphony,” the “American” String Quartet, “Cello Concerto in B minor” and “Rusalka.”"
Giacomo Puccini ,1858-1924,Italian, His opera creations are some of the most often performed in the world,Puccini created operas that are some of the most often performed in the world. Many people regard Giacomo Puccini to be the greatest Italian composer after Verdi. He was a leading individual in the realistic verismo style as well.
Gustav Mahler ,1860-1911,Austrian, A top conductor and leading composer of the late-Romantic period,"Mahler is known for creating very emotionally charged symphonies. He created 10 total in his lifetime. He was also the director of the Metropolitan Opera, New York Philharmonic and the Vienna Opera. Mahler’s works were considered to bridge the gap between the 19th century tradition and the modernistic style of the beginning of the 20th century."
Claude Debussy ,1862-1918,French, Considered to be the person who created musical impressionism,"Known for his key role in developing Impressionist music, Debussy’s style was said to be a reflection of the ups and downs of his own life. His music was often without tonality and had a sensory component."
Richard Strauss ,1864-1949,German, His operas and symphonic poems,"Richard Strauss’ most famous works include “Salome” and “Der Rosenkavalier.” He was one of the top composers during the end of the Romantic era and the beginning of the modern era. While the Nazis were in power, Strauss was one of the few composers who was not banned because Adolf Hitler was a fan of his."
Arnold Schoenberg ,1874-1951,Austrian, Development and harmonic approach that advanced musical thought,Arnold Schoenberg is known for his unique approach with development and harmony in his compositions. He truly influenced over three generations of other composers. His music was made him a name as an innovator in atonality. He also created the twelve-tone technique.
Maurice Ravel ,1875-1937,French, His effects and instrumental textures as well as his melodies,Ravel’s most popular classical compositions are “Bolero” and “Daphnis et Chloe.” He is the most well-known of all the French composers in history. He is famous for saying “The only love affair I have ever had was with music.”
Igor Stravinsky ,1882-1971,Russian, Writing over 100 works,"Often thought to be one of the top composers of the 20th century, Stravinsky became popular from his initial works on three different ballets. His works helped to change the way other composers considered their usage of rythmic structure."
Irving Berlin ,1888-1989,American, Argued by many to be the greatest songwriter in American history,Irving Berlin composed “Alexander’s Ragtime Band” in 1911. It became a huge international success that started a dance craze around the world. He also made the popular songs “White Christmas” and “Happy Holiday.” Composer George Gershwin said that he was “the greatest songwriter that has ever lived.”
George Gershwin ,1898-1937,American, George Gershwin,"George Gershwin created songs, film scores and operas that have become very recognizable such as “Rhapsody in Blue,” “Porgy and Bess” and “An American in Paris.” He had a Lifetime Musical Achievement Award named after him and he is one of only four songwriters to receive the Congressional Gold Medal."
Aaron Copland ,1900-1990,American, Utilizing themes of American folk and jazz in his music,"Known for his distinctive American themes and contemporary style, Aaron Copland created popular music for nearly 40 years. When he was just in high school his teacher had him compose an organ concerto which was so good that it was played by the New York Symphony and the Symphony for Organ and Orchestra in Carnegie Hall."
Harry Vardon ,1870-1937,British, Won the British Open 6 times,"Harry Vardon won seven major championships during his golf career and at least 17 professional tournaments in total. Interestingly, he introduced the idea of playing in knickerbockers, making him the first professional golfer to do so."
Walter Hagen ,1892-1969,American, Won 11 professional majors,Walter Hagen’s eleven professional major wins puts him in third behind Tiger Woods (14) and Jack Nicklaus (18). He was the first American to win at the British Open and he has twice won at the U.S. Open. He is tied for first for winning the PGA Championship five times.
NameBobby Jones ,1902-1971,American, Being the most successful amateur golfer of all time,"Although never a professional golfer, Bobby Jones competed against and beat some of the top pro golfers of his time. Jones completed the “Grand Slam” of golf all in one year. He won 13 majors in his lifetime. He was also the co-founder of the Masters Tournament."
Gene Sarazen ,1902-1999,American, Won all of the major championships during his career,Sarazen was a top player in the world throughout the 1920’s and 1930’s. He is one of the group of 5 golfers who have won all of the major championships during their career.
Babe Zaharias ,1911-1956,American, First American female golf celebrity,Babe started her golfing career when she was 24 years old. She was the first woman to compete in a men’s PGA tournament. She is considered the first female golf celebrity in America. She was a founding member of the LPGA.
Ben Hogan ,1912-1997,American, Won all 4 major championships,Ben Hogan is widely considered one of the best golfers in history. He also made a huge impact on golf swing mechanics during his time. He had 9 professional major champtionships which puts him in fourth place for all time major champtionships won.
Sam Snead ,1912-2002,American, A top ranked player in the world for nearly 40 years,"During his career, Sam Snead won a record breaking 82 PGA Tour tournaments. Seven of these victories were majors. The only major tournament that he did not win was the U.S. Open. He was often admired for having what many believed to be the “perfect swing.”"
Byron Nelson ,1912-2006,American, Won eleven tournaments in a row,"Byron Nelson had a relatively short career, but in that time span he managed to win many tournaments. In 1945 alone he won 18. He was the first golfer to have a PGA Tour even named after him. He was also the recipient of the Bob Jones Award"
Patty Berg ,1918-2006,American, Record for most major titles won,Batty Berg was a founding member of the Ladies Professional Golf Association. She is an inductee of the World Golf Hall of Fame. She has won 15 major titles and won 29 amateur titles before going pro.
Charlie Sifford ,1922-present,American, African-American golfer who was a big part of desegregating the PGA,Charlie Sifford overcame racist attitudes in amateur and professional golf to become a successful pro golfer. He had two PGA tour wins and several other important victories throughout his career.
Athea Gibson ,1927-2003,American, First African-American woman to play in the LPGA,"Athea Gibson broke through race barriers in both golf and tennis. She was the first African American to play on the pro tour. She was even more talented in tennis, having been the first African American to play at Wimbledon."
Arnold Palmer ,1929-present,American, First golfer to win the Masters Tournament 4 times,"Nicknamed “The King,” Arnold Palmer is widely considered one of the best golfers in the history of the PGA. He was the original superstar in the beginning of the sport’s television age. He has been awarded the PGA Tour Lifetime Achievement Award and is a member of the World Golf Hall of Fame."
Gary Player ,1935-present,South, Third ever player to win the “grand slam of golf”,Gary Player won 9 major championships on the PGA Tour and 6 Champions Tour major championships. He is also a world famous golf course designer and the author of 36 books about the sport of golf.
Chi Chi Rodriguez ,1935-present,Puerto, First Puerto Rican in the World Golf Hall of Fame,"Juan Antonio “Chi Chi” Rodriguez has won many awards througout his golfing career. These include the Hispanic Recognition Award, the Bob Jones Award and the Old Tom Morris Award."
Mickey Wright ,1935-present,American, Won 82 LPGA tournaments in her career,Wright joined the LPGA Tour in 1954. She was inducted into the World Golf Hall of Fame just 10 years later in 1964. She has won thirteen major championships in her lifetime.
Lee Trevino ,1939-present,Mexican, Winner of 6 major championships,"Lee Trevino is considered an icon by many Mexican Americans. He has won the U.S. Open, the PGA Championship and The Open Championship each two times. He is only the fourth person to have done this."
Jack Nicklaus ,1940-present,American, Won the PGA Championship 5 times and the U.S. Open 4 times,"Jack Nicklaus is nicknamed “The Golden Bear” because of his golden blonde hair and heavier-set body type. He is considered by most to be the most successful golfer in history. He has 18 major champtionship wins, 19 second place finishes and has placed 3rd nine times."
